Tokyo,35.65971,139.74519,43,47,13,80
ISRO,12.9311,77.6101,902,6,13,76
Panama,8.9833,-79.55,28,38,9,76
Nuuk,64.1828,-51.7336,0,26,8,84
SantaMaria,36.99769,-25.13588,200,13,4,87
Troll,-72.02143,2.53219,0,5,12,75
Hokkaido,43.8,142.3689,116,18,8,87
Mingenew,-29.1994,115.44225,188,34,14,75
Singapore,1.3661,103.9915,13,27,12,86
Dubai,25.224,55.3278,0,42,6,78
TierraDelFuego,-54.510448,-67.115565,145,44,15,79
PuntaArenas,-52.93279,-70.85021,19,41,13,76
Jeju,33.2883,126.4621,399,42,13,87
Okinawa,26.4055,127.7766,63,25,4,78
Mauritius,-20.1142,57.5565,60,36,5,75
Inuvik,68.31953,-133.54917,0,7,9,76
Awarua,-46.50447,168.37269,8,18,6,88
Puertollano,38.6741,-4.16201,688,47,13,79
Cordoba,-31.52291,-64.46091,694,10,3,87
Nemea,37.84604,22.62216,279,49,3,81
JanMayen,70.92145,-8.71737,0,36,10,88
Svalbard,78.22875,15.39964,0,34,8,88
Tromso,69.6627,18.9396,0,33,7,84
Vardo,70.36779,31.12509,0,37,12,83
Fairbanks,64.97659,-147.51769,0,22,8,85
Hartebeesthoek,-25.88974,27.68533,1378,43,6,82
Maspalomos,27.76295,-15.63386,148,39,12,88
Hawaii,21.54675,-158.23982,5,48,9,82
Goldstone,35.4227,-116.8873,990,1,1,88
Quito,-0.24906,-78.495484,2969,19,8,81
Brasilia,-15.818384,-47.95166,1091,23,4,81
Paramaribo,5.83313,-55.198975,4,15,4,81
Natal,-5.777125,-35.202026,7,12,15,88
Libreville,0.11592,9.389648,2,7,5,86
Monrovia,6.235988,-10.913086,0,34,2,83
Kampala,0.310786,32.60376,1191,8,3,79
Mogadishu,2.089216,45.3479,43,32,9,81
Sri Lanka,6.826984,79.929199,5,16,8,76
Mumbai,19.028038,72.670898,0,6,8,83
Palu,-0.932727,119.875488,18,9,4,75
MountHagen,-5.816583,144.246826,1708,30,2,78
Honiara,-9.49105,159.891357,378,7,4,83
Kiribati,1.663895,173.0054,0,16,3,88
LineIsland,1.841456,202.672119,0,23,3,79
Acapulco,16.670175,260.10498,0,17,12,76
Cancun,21.193881,273.068847,0,20,13,78
Managua,12.113046,273.684082,0,12,7,87
Havana,25.109627,282.60498,0,25,15,76
Atlanta,33.746358,275.6616,300,13,3,83
Dallas,32.718461,263.137207,100,16,12,78
APL,39.09739,283.157272,50,30,14,79
Bermuda,32.303565,295.198974,0,12,5,78
Dominica,15.43784,298.626709,0,23,15,82
CaboVerde,14.907359,336.481933,0,11,6,87
Marrakesh,32.09084,350.76416,30,15,6,80
Barcelona,41.486344,-2.27584,20,32,10,80
Chad,15.282854,-17.824653,0,33,4,83
Cairo,30.013077,-31.08475,10,23,13,78
Riyadh,24.631393,-46.7459,30,21,14,87
Kabul,34.6222,-69.15534,0,32,6,80
NewDelhi,28.68335,-282.751465,0,34,13,79
Burma,15.811422,-262.192383,34,8,14,88
Vietnam,12.652238,-251.901856,0,32,7,76
Tokyo,35.338934,-221.513673,145,15,15,84
Manila,14.740375,-239.091798,0,11,6,81
BarrierIsland,14.975247,-214.284668,0,8,6,83
Micronesia,8.576666,-207.799072,0,32,3,83
AirForceIsland,16.73589,-169.522705,12,13,3,87
SanJose,37.302365,-121.917,43,20,12,86
Wichita,37.675805,-97.298584,393,13,3,79
Atlantic,0.929932,-29.106446,0,18,5,85
Pacific,-0.312466,-133.710941,0,16,7,79
SantaCruz,-17.8667,-63.200684,431,10,5,82
Manaus,-3.186696,-59.948731,11,32,5,77
Lima,-12.158643,-77.182618,2500,10,15,83
Accra,5.573444,-0.10254,0,16,13,85
Jamestown,-15.880817,-5.72022,0,15,6,83
Luanda,-8.687643,13.256835,0,8,9,87
Harare,-17.769591,30.930176,1464,32,8,76
Gaborone,-24.606134,25.876465,1026,7,12,83
CapeTown,-33.941219,18.409424,156,19,6,83
Antsirabe,-19.976583,47.01416,1490,12,15,81
IndianOcean,-11.9824,96.804199,0,13,13,82
WestAus,-21.581085,117.176514,311,23,8,84
MidAus,-23.263169,135.249023,557,13,15,88
Brisbane,-27.433773,153.054199,48,18,4,75
Auckland,-36.824785,174.763183,0,29,10,84
SouthPacific1,-31.480483,222.94104,0,34,6,87
SouthPacific2,-23.388516,259.042967,0,8,13,87
Iran,32.277568,55.517577,1380,20,5,78
Kashmir,33.754263,73.110351,669,10,4,87
Oman,17.45369,53.583983,537,6,9,78
Taiwan,23.787591,120.922851,357,29,9,79
EastChinaSea,24.749365,141.225585,0,13,15,77
PacificAirBase,24.289625,153.982258,9,7,9,86
CaliCoast,3.038244,224.091796,0,35,4,82
Albuquerque,35.078793,253.342895,0,13,12,85
Tallahassee,30.428951,275.722046,20,9,14,78
Kingston,17.891532,283.081054,0,11,5,87
Canary,39.4722509,328.696289,0,20,12,84
